function,taylor_expansion
exp(x)/3,x**4/72 + x**3/18 + x**2/6 + x/3 + 1/3
exp(2*x)/3,2*x**4/9 + 4*x**3/9 + 2*x**2/3 + 2*x/3 + 1/3
exp(x/4),x**4/6144 + x**3/384 + x**2/32 + x/4 + 1
exp(x**2/4),x**4/32 + x**2/4 + 1
exp(x)/4,x**4/96 + x**3/24 + x**2/8 + x/4 + 1/4
exp(2*x)/4,x**4/6 + x**3/3 + x**2/2 + x/2 + 1/4
exp(2*x/3),2*x**4/243 + 4*x**3/81 + 2*x**2/9 + 2*x/3 + 1
exp(2*x**2/3),2*x**4/9 + 2*x**2/3 + 1
2*exp(x)/3,x**4/36 + x**3/9 + x**2/3 + 2*x/3 + 2/3
2*exp(2*x)/3,4*x**4/9 + 8*x**3/9 + 4*x**2/3 + 4*x/3 + 2/3
exp(3*x/2),27*x**4/128 + 9*x**3/16 + 9*x**2/8 + 3*x/2 + 1
exp(3*x**2/2),9*x**4/8 + 3*x**2/2 + 1
3*exp(x)/2,x**4/16 + x**3/4 + 3*x**2/4 + 3*x/2 + 3/2
3*exp(2*x)/2,x**4 + 2*x**3 + 3*x**2 + 3*x + 3/2
log(2*x + 1),-4*x**4 + 8*x**3/3 - 2*x**2 + 2*x
log(2*x**2 + 1),-2*x**4 + 2*x**2
2*log(x + 1),-x**4/2 + 2*x**3/3 - x**2 + 2*x
2*log(2*x + 1),-8*x**4 + 16*x**3/3 - 4*x**2 + 4*x
log(3*x + 1),-81*x**4/4 + 9*x**3 - 9*x**2/2 + 3*x
log(3*x**2 + 1),-9*x**4/2 + 3*x**2
3*log(x + 1),-3*x**4/4 + x**3 - 3*x**2/2 + 3*x
3*log(2*x + 1),-12*x**4 + 8*x**3 - 6*x**2 + 6*x
log(4*x + 1),-64*x**4 + 64*x**3/3 - 8*x**2 + 4*x
log(4*x**2 + 1),-8*x**4 + 4*x**2
4*log(x + 1),-x**4 + 4*x**3/3 - 2*x**2 + 4*x
4*log(2*x + 1),-16*x**4 + 32*x**3/3 - 8*x**2 + 8*x
log(5*x + 1),-625*x**4/4 + 125*x**3/3 - 25*x**2/2 + 5*x
log(5*x**2 + 1),-25*x**4/2 + 5*x**2
5*log(x + 1),-5*x**4/4 + 5*x**3/3 - 5*x**2/2 + 5*x
5*log(2*x + 1),-20*x**4 + 40*x**3/3 - 10*x**2 + 10*x
log(1 - x),-x**4/4 - x**3/3 - x**2/2 - x
log(1 - x**2),-x**4/2 - x**2
-log(x + 1),x**4/4 - x**3/3 + x**2/2 - x
-log(2*x + 1),4*x**4 - 8*x**3/3 + 2*x**2 - 2*x
log(1 - 2*x),-4*x**4 - 8*x**3/3 - 2*x**2 - 2*x
log(1 - 2*x**2),-2*x**4 - 2*x**2
-2*log(x + 1),x**4/2 - 2*x**3/3 + x**2 - 2*x
-2*log(2*x + 1),8*x**4 - 16*x**3/3 + 4*x**2 - 4*x
log(1 - 3*x),-81*x**4/4 - 9*x**3 - 9*x**2/2 - 3*x
log(1 - 3*x**2),-9*x**4/2 - 3*x**2
-3*log(x + 1),3*x**4/4 - x**3 + 3*x**2/2 - 3*x
-3*log(2*x + 1),12*x**4 - 8*x**3 + 6*x**2 - 6*x
log(x/2 + 1),-x**4/64 + x**3/24 - x**2/8 + x/2
log(x**2/2 + 1),-x**4/8 + x**2/2
log(x + 1)/2,-x**4/8 + x**3/6 - x**2/4 + x/2
log(2*x + 1)/2,-2*x**4 + 4*x**3/3 - x**2 + x
log(x/3 + 1),-x**4/324 + x**3/81 - x**2/18 + x/3
log(x**2/3 + 1),-x**4/18 + x**2/3
log(x + 1)/3,-x**4/12 + x**3/9 - x**2/6 + x/3
log(2*x + 1)/3,-4*x**4/3 + 8*x**3/9 - 2*x**2/3 + 2*x/3
log(x/4 + 1),-x**4/1024 + x**3/192 - x**2/32 + x/4
log(x**2/4 + 1),-x**4/32 + x**2/4
log(x + 1)/4,-x**4/16 + x**3/12 - x**2/8 + x/4
log(2*x + 1)/4,-x**4 + 2*x**3/3 - x**2/2 + x/2
log(2*x/3 + 1),-4*x**4/81 + 8*x**3/81 - 2*x**2/9 + 2*x/3
log(2*x**2/3 + 1),-2*x**4/9 + 2*x**2/3
2*log(x + 1)/3,-x**4/6 + 2*x**3/9 - x**2/3 + 2*x/3
2*log(2*x + 1)/3,-8*x**4/3 + 16*x**3/9 - 4*x**2/3 + 4*x/3
log(3*x/2 + 1),-81*x**4/64 + 9*x**3/8 - 9*x**2/8 + 3*x/2
log(3*x**2/2 + 1),-9*x**4/8 + 3*x**2/2
3*log(x + 1)/2,-3*x**4/8 + x**3/2 - 3*x**2/4 + 3*x/2
3*log(2*x + 1)/2,-6*x**4 + 4*x**3 - 3*x**2 + 3*x
tan(2*x),8*x**3/3 + 2*x
2*tan(x),2*x**3/3 + 2*x
2*tan(2*x),16*x**3/3 + 4*x
tan(3*x),9*x**3 + 3*x
3*tan(x),x**3 + 3*x
3*tan(2*x),8*x**3 + 6*x
tan(4*x),64*x**3/3 + 4*x
4*tan(x),4*x**3/3 + 4*x
4*tan(2*x),32*x**3/3 + 8*x
tan(5*x),125*x**3/3 + 5*x
5*tan(x),5*x**3/3 + 5*x
5*tan(2*x),40*x**3/3 + 10*x
-tan(x),-x**3/3 - x
-tan(2*x),-8*x**3/3 - 2*x
-2*tan(x),-2*x**3/3 - 2*x
-2*tan(2*x),-16*x**3/3 - 4*x
-tan(3*x),-9*x**3 - 3*x
-3*tan(x),-x**3 - 3*x
-3*tan(2*x),-8*x**3 - 6*x
tan(x/2),x**3/24 + x/2
tan(x)/2,x**3/6 + x/2
tan(2*x)/2,4*x**3/3 + x
tan(x/3),x**3/81 + x/3
tan(x)/3,x**3/9 + x/3
tan(2*x)/3,8*x**3/9 + 2*x/3
tan(x/4),x**3/192 + x/4
tan(x)/4,x**3/12 + x/4
tan(2*x)/4,2*x**3/3 + x/2
tan(2*x/3),8*x**3/81 + 2*x/3
2*tan(x)/3,2*x**3/9 + 2*x/3
2*tan(2*x)/3,16*x**3/9 + 4*x/3
tan(3*x/2),9*x**3/8 + 3*x/2
3*tan(x)/2,x**3/2 + 3*x/2
3*tan(2*x)/2,4*x**3 + 3*x
sinh(2*x),4*x**3/3 + 2*x
2*sinh(x),x**3/3 + 2*x
2*sinh(2*x),8*x**3/3 + 4*x
sinh(3*x),9*x**3/2 + 3*x
3*sinh(x),x**3/2 + 3*x
3*sinh(2*x),4*x**3 + 6*x
sinh(4*x),32*x**3/3 + 4*x
4*sinh(x),2*x**3/3 + 4*x
4*sinh(2*x),16*x**3/3 + 8*x
sinh(5*x),125*x**3/6 + 5*x
5*sinh(x),5*x**3/6 + 5*x
5*sinh(2*x),20*x**3/3 + 10*x
-sinh(x),-x**3/6 - x
-sinh(2*x),-4*x**3/3 - 2*x
-2*sinh(x),-x**3/3 - 2*x
-2*sinh(2*x),-8*x**3/3 - 4*x
-sinh(3*x),-9*x**3/2 - 3*x
-3*sinh(x),-x**3/2 - 3*x
-3*sinh(2*x),-4*x**3 - 6*x
sinh(x/2),x**3/48 + x/2
sinh(x)/2,x**3/12 + x/2
sinh(2*x)/2,2*x**3/3 + x
sinh(x/3),x**3/162 + x/3
sinh(x)/3,x**3/18 + x/3
sinh(2*x)/3,4*x**3/9 + 2*x/3
sinh(x/4),x**3/384 + x/4
sinh(x)/4,x**3/24 + x/4
sinh(2*x)/4,x**3/3 + x/2
sinh(2*x/3),4*x**3/81 + 2*x/3
2*sinh(x)/3,x**3/9 + 2*x/3
2*sinh(2*x)/3,8*x**3/9 + 4*x/3
sinh(3*x/2),9*x**3/16 + 3*x/2
3*sinh(x)/2,x**3/4 + 3*x/2
3*sinh(2*x)/2,2*x**3 + 3*x
cosh(2*x),2*x**4/3 + 2*x**2 + 1
cosh(2*x**2),2*x**4 + 1
2*cosh(x),x**4/12 + x**2 + 2
2*cosh(2*x),4*x**4/3 + 4*x**2 + 2
cosh(3*x),27*x**4/8 + 9*x**2/2 + 1
cosh(3*x**2),9*x**4/2 + 1
3*cosh(x),x**4/8 + 3*x**2/2 + 3
3*cosh(2*x),2*x**4 + 6*x**2 + 3
cosh(4*x),32*x**4/3 + 8*x**2 + 1
cosh(4*x**2),8*x**4 + 1
4*cosh(x),x**4/6 + 2*x**2 + 4
4*cosh(2*x),8*x**4/3 + 8*x**2 + 4
cosh(5*x),625*x**4/24 + 25*x**2/2 + 1
cosh(5*x**2),25*x**4/2 + 1
5*cosh(x),5*x**4/24 + 5*x**2/2 + 5
5*cosh(2*x),10*x**4/3 + 10*x**2 + 5
cosh(x**2),x**4/2 + 1
-cosh(x),-x**4/24 - x**2/2 - 1
-cosh(2*x),-2*x**4/3 - 2*x**2 - 1
-2*cosh(x),-x**4/12 - x**2 - 2
-2*cosh(2*x),-4*x**4/3 - 4*x**2 - 2
-3*cosh(x),-x**4/8 - 3*x**2/2 - 3
-3*cosh(2*x),-2*x**4 - 6*x**2 - 3
cosh(x/2),x**4/384 + x**2/8 + 1
cosh(x**2/2),x**4/8 + 1
cosh(x)/2,x**4/48 + x**2/4 + 1/2
cosh(2*x)/2,x**4/3 + x**2 + 1/2
cosh(x/3),x**4/1944 + x**2/18 + 1
cosh(x**2/3),x**4/18 + 1
cosh(x)/3,x**4/72 + x**2/6 + 1/3
cosh(2*x)/3,2*x**4/9 + 2*x**2/3 + 1/3
cosh(x/4),x**4/6144 + x**2/32 + 1
cosh(x**2/4),x**4/32 + 1
cosh(x)/4,x**4/96 + x**2/8 + 1/4
cosh(2*x)/4,x**4/6 + x**2/2 + 1/4
cosh(2*x/3),2*x**4/243 + 2*x**2/9 + 1
cosh(2*x**2/3),2*x**4/9 + 1
2*cosh(x)/3,x**4/36 + x**2/3 + 2/3
2*cosh(2*x)/3,4*x**4/9 + 4*x**2/3 + 2/3
cosh(3*x/2),27*x**4/128 + 9*x**2/8 + 1
cosh(3*x**2/2),9*x**4/8 + 1
3*cosh(x)/2,x**4/16 + 3*x**2/4 + 3/2
3*cosh(2*x)/2,x**4 + 3*x**2 + 3/2
tanh(2*x),-8*x**3/3 + 2*x
2*tanh(x),-2*x**3/3 + 2*x
2*tanh(2*x),-16*x**3/3 + 4*x
tanh(3*x),-9*x**3 + 3*x
3*tanh(x),-x**3 + 3*x
3*tanh(2*x),-8*x**3 + 6*x
tanh(4*x),-64*x**3/3 + 4*x
4*tanh(x),-4*x**3/3 + 4*x
4*tanh(2*x),-32*x**3/3 + 8*x
tanh(5*x),-125*x**3/3 + 5*x
5*tanh(x),-5*x**3/3 + 5*x
5*tanh(2*x),-40*x**3/3 + 10*x
-tanh(x),x**3/3 - x
-tanh(2*x),8*x**3/3 - 2*x
-2*tanh(x),2*x**3/3 - 2*x
-2*tanh(2*x),16*x**3/3 - 4*x
-tanh(3*x),9*x**3 - 3*x
-3*tanh(x),x**3 - 3*x
-3*tanh(2*x),8*x**3 - 6*x
tanh(x/2),-x**3/24 + x/2
tanh(x)/2,-x**3/6 + x/2
tanh(2*x)/2,-4*x**3/3 + x
tanh(x/3),-x**3/81 + x/3
tanh(x)/3,-x**3/9 + x/3
tanh(2*x)/3,-8*x**3/9 + 2*x/3
tanh(x/4),-x**3/192 + x/4
tanh(x)/4,-x**3/12 + x/4
tanh(2*x)/4,-2*x**3/3 + x/2
tanh(2*x/3),-8*x**3/81 + 2*x/3
2*tanh(x)/3,-2*x**3/9 + 2*x/3
2*tanh(2*x)/3,-16*x**3/9 + 4*x/3
tanh(3*x/2),-9*x**3/8 + 3*x/2
3*tanh(x)/2,-x**3/2 + 3*x/2
3*tanh(2*x)/2,-4*x**3 + 3*x
-x - 9,-x - 9
-6*x**2 - 5*x - 2,-6*x**2 - 5*x - 2
4*x + 9,4*x + 9
-7*x - 9,-7*x - 9
-9*x**2 + 7*x - 2,-9*x**2 + 7*x - 2
-2*x**2 + 4*x + 8,-2*x**2 + 4*x + 8
4*x**4 - 4*x**3 - 9*x**2 - x + 9,4*x**4 - 4*x**3 - 9*x**2 - x + 9
x**3 - 3*x**2 - 5*x - 1,x**3 - 3*x**2 - 5*x - 1
3*x - 7,3*x - 7
2*x + 2,2*x + 2
-6*x**3 + 8*x**2 + 5*x - 8,-6*x**3 + 8*x**2 + 5*x - 8
9*x**4 + 2*x**3 + 8*x - 7,9*x**4 + 2*x**3 + 8*x - 7
-2*x**2 - 8*x - 7,-2*x**2 - 8*x - 7
3*x**3 - 6*x**2 - 2*x - 7,3*x**3 - 6*x**2 - 2*x - 7
2*x**3 - 4*x**2 + 2*x + 5,2*x**3 - 4*x**2 + 2*x + 5
-4*x**3 - 7*x**2 - x - 3,-4*x**3 - 7*x**2 - x - 3
3*x**2 + 5*x - 4,3*x**2 + 5*x - 4
-8*x**3 + x**2 - 2*x + 8,-8*x**3 + x**2 - 2*x + 8
3*x**2 + x - 8,3*x**2 + x - 8
x**3 + 9*x**2 - 3*x - 7,x**3 + 9*x**2 - 3*x - 7
5*x**2 + 3*x + 6,5*x**2 + 3*x + 6
-2*x**2 - 5*x - 1,-2*x**2 - 5*x - 1
3*x**3 + 9*x**2 + 4*x + 9,3*x**3 + 9*x**2 + 4*x + 9
6*x**3 + 7*x**2 - 5*x - 2,6*x**3 + 7*x**2 - 5*x - 2
-6*x - 8,-6*x - 8
-7*x**2 + 4*x - 4,-7*x**2 + 4*x - 4
8*x**4 - x**3 + 7*x**2 + 5*x + 3,8*x**4 - x**3 + 7*x**2 + 5*x + 3
8*x - 6,8*x - 6
4*x**3 - 6*x + 1,4*x**3 - 6*x + 1
-x**2 - 9*x + 5,-x**2 - 9*x + 5
7 - 6*x,7 - 6*x
-4*x**2 + 2*x - 5,-4*x**2 + 2*x - 5
6*x + 1,6*x + 1
2*x - 6,2*x - 6
9*x**3 - 2*x**2 - 8*x - 2,9*x**3 - 2*x**2 - 8*x - 2
6*x - 7,6*x - 7
8 - 5*x,8 - 5*x
-4*x**2 + 8*x + 6,-4*x**2 + 8*x + 6
8*x**3 - 3*x**2 + 4*x + 7,8*x**3 - 3*x**2 + 4*x + 7
2*x**2 + 3*x,2*x**2 + 3*x
-2*x**4 - 2*x**3 - 6*x**2 + 5*x + 7,-2*x**4 - 2*x**3 - 6*x**2 + 5*x + 7
1 - 9*x,1 - 9*x
-9*x**2 - 2*x + 9,-9*x**2 - 2*x + 9
-2*x - 8,-2*x - 8
x - 8,x - 8
7 - 2*x,7 - 2*x
-5*x**3 + 8*x**2 - 3*x + 6,-5*x**3 + 8*x**2 - 3*x + 6
-6*x**4 - 3*x**3 + 4*x**2 + 6*x - 2,-6*x**4 - 3*x**3 + 4*x**2 + 6*x - 2
2*x + 4,2*x + 4
-8*x**4 - 6*x**3 - 8*x**2 + 5*x + 4,-8*x**4 - 6*x**3 - 8*x**2 + 5*x + 4
-3*x**4 - 3*x**3 - 2*x**2 - 6*x + 1,-3*x**4 - 3*x**3 - 2*x**2 - 6*x + 1
5*x**4 - x**3 - 4*x**2 + 4*x - 5,5*x**4 - x**3 - 4*x**2 + 4*x - 5
8*x**2 + 5*x - 7,8*x**2 + 5*x - 7
8*x - 8,8*x - 8
-2*x - 7,-2*x - 7
6*x**2 + 6*x + 4,6*x**2 + 6*x + 4
-4*x**2 - 8*x + 3,-4*x**2 - 8*x + 3
5*x**3 - x**2 + 3*x - 9,5*x**3 - x**2 + 3*x - 9
-3*x**3 - 5*x**2 + 6*x + 8,-3*x**3 - 5*x**2 + 6*x + 8
8*x**2 + 9*x - 8,8*x**2 + 9*x - 8
1 - 8*x,1 - 8*x
6*x + 9,6*x + 9
-7*x**2 + 7*x - 8,-7*x**2 + 7*x - 8
-2*x**2 - 7*x - 7,-2*x**2 - 7*x - 7
-8*x**4 + 9*x**3 - 2*x**2 + 9*x - 6,-8*x**4 + 9*x**3 - 2*x**2 + 9*x - 6
9*x + 4,9*x + 4
-2*x**3 + x**2 - 3*x - 1,-2*x**3 + x**2 - 3*x - 1
5*x**3 - 5*x + 3,5*x**3 - 5*x + 3
9*x**3 + 5*x**2 - 9*x - 7,9*x**3 + 5*x**2 - 9*x - 7
8*x - 7,8*x - 7
-5*x**2 - x + 7,-5*x**2 - x + 7
2*x**2 - 2*x - 7,2*x**2 - 2*x - 7
8*x + 5,8*x + 5
8,8
-x - 5,-x - 5
-3*x**2 - 1,-3*x**2 - 1
6*x**3 + 7*x**2 - x - 3,6*x**3 + 7*x**2 - x - 3
-x**3 + 4*x**2 - 7*x - 8,-x**3 + 4*x**2 - 7*x - 8
x - 9,x - 9
5*x**2 - 4*x - 1,5*x**2 - 4*x - 1
-5*x**4 - 7*x**3 - 6*x**2 - 9*x + 8,-5*x**4 - 7*x**3 - 6*x**2 - 9*x + 8
9*x + 2,9*x + 2
-8*x**2 - 5*x + 4,-8*x**2 - 5*x + 4
-3*x**3 + 2*x**2 - 8*x + 2,-3*x**3 + 2*x**2 - 8*x + 2
8*x**2 + 2*x - 6,8*x**2 + 2*x - 6
4*x**4 - 4*x**3 - 4*x**2 - 2*x - 5,4*x**4 - 4*x**3 - 4*x**2 - 2*x - 5
x - 4,x - 4
3*x**4 - 6*x**3 - 4*x**2 - x - 2,3*x**4 - 6*x**3 - 4*x**2 - x - 2
6 - 2*x,6 - 2*x
2*x + 5,2*x + 5
-3*x**2 - 9*x - 2,-3*x**2 - 9*x - 2
2*x**4 - x**3 - 7*x**2 - x + 1,2*x**4 - x**3 - 7*x**2 - x + 1
-x**4 - 6*x**3 - 9*x**2 + x + 8,-x**4 - 6*x**3 - 9*x**2 + x + 8
-8*x**2 - x + 9,-8*x**2 - x + 9
3*x**3 - 6*x**2 + 7*x + 4,3*x**3 - 6*x**2 + 7*x + 4
4*x**2 - 8*x - 1,4*x**2 - 8*x - 1
8*x + 7,8*x + 7
-7*x**2 + 4*x + 2,-7*x**2 + 4*x + 2
7*x**3 - 6*x + 1,7*x**3 - 6*x + 1
3*x**2 + x + 4,3*x**2 + x + 4
3*x**2 + 4*x - 3,3*x**2 + 4*x - 3
3*x**2 + 9,3*x**2 + 9
x,x
x**2 + 9*x + 4,x**2 + 9*x + 4
6*x**4 + 7*x**3 - 3*x**2 + 5*x + 5,6*x**4 + 7*x**3 - 3*x**2 + 5*x + 5
7*x**2 - 7,7*x**2 - 7
-2*x**3 - 2*x - 7,-2*x**3 - 2*x - 7
-8*x**2 - 9*x - 5,-8*x**2 - 9*x - 5
5*x**2 - 7*x + 6,5*x**2 - 7*x + 6
3*x**4 + 6*x**3 + 3*x**2 - 3*x + 9,3*x**4 + 6*x**3 + 3*x**2 - 3*x + 9
-6*x**2 - 9*x - 5,-6*x**2 - 9*x - 5
-8*x**4 + 5*x**3 + 7*x**2 - 4*x - 2,-8*x**4 + 5*x**3 + 7*x**2 - 4*x - 2
-5*x**2 + 5*x - 6,-5*x**2 + 5*x - 6
7*x**4 + 5*x**3 + x**2 + 8*x + 7,7*x**4 + 5*x**3 + x**2 + 8*x + 7
5*x**4 + 6*x**3 - 4*x**2 + 5*x + 8,5*x**4 + 6*x**3 - 4*x**2 + 5*x + 8
6*x**3 + 7*x**2 - x - 2,6*x**3 + 7*x**2 - x - 2
-7*x**2 + 5*x - 1,-7*x**2 + 5*x - 1
x**3 + x**2 - x - 2,x**3 + x**2 - x - 2
-5*x - 5,-5*x - 5
-3*x**2 - 5*x + 3,-3*x**2 - 5*x + 3
4*x + 4,4*x + 4
-8*x**3 + 4*x**2 + 5*x + 8,-8*x**3 + 4*x**2 + 5*x + 8
9*x**2 + 3*x + 4,9*x**2 + 3*x + 4
3*x + 9,3*x + 9
4*x**4 + 3*x**3 + 2*x - 9,4*x**4 + 3*x**3 + 2*x - 9
-x**2 - 2*x + 6,-x**2 - 2*x + 6
3*x**4 + x**3 + 3*x**2 - 9*x + 6,3*x**4 + x**3 + 3*x**2 - 9*x + 6
8*x**2 - 5*x + 5,8*x**2 - 5*x + 5
9*x + 3,9*x + 3
4*x - 7,4*x - 7
-8*x**2 - 4*x + 5,-8*x**2 - 4*x + 5
5*x**3 - 3*x**2 + x + 3,5*x**3 - 3*x**2 + x + 3
4*x**3 - x**2 + 3*x + 1,4*x**3 - x**2 + 3*x + 1
8*x**3 - 9*x**2 + 6*x - 7,8*x**3 - 9*x**2 + 6*x - 7
2 - 2*x,2 - 2*x
-9*x - 8,-9*x - 8
-5*x**2 - 9*x - 3,-5*x**2 - 9*x - 3
-6*x**2 + 6*x - 5,-6*x**2 + 6*x - 5
2*x**2 - x + 5,2*x**2 - x + 5
-4*x - 6,-4*x - 6
9 - 9*x,9 - 9*x
-3*x**3 + 3*x**2 + 3*x + 9,-3*x**3 + 3*x**2 + 3*x + 9
